TeamId,AreaId,AreaName,Key,Name,ShortName,Active
100000001,107,Korea Republic,AF,afreeca Freecs,afreeca Freecs,TRUE
100000002,107,Korea Republic,BBQ,bbq OLIVERS,bbq OLIVERS,TRUE
100000003,107,Korea Republic,JAG,Jin Air Green Wings,Jin Air GW,TRUE
100000004,107,Korea Republic,KDM,Kongdoo Monster,Kongdoo,TRUE
100000005,107,Korea Republic,KT,kt Rolster,kt Rolster,TRUE
100000006,107,Korea Republic,LZ,Longzhu Gaming,Longzhu Gaming,FALSE
100000007,107,Korea Republic,MVP,MVP,MVP,TRUE
100000008,107,Korea Republic,ROX,ROX Tigers,ROX Tigers,TRUE
100000009,107,Korea Republic,SSG,Samsung Galaxy,Samsung Galaxy,FALSE
100000010,107,Korea Republic,SKT,SK Telecom T1,SK Telecom T1,FALSE
100000011,184,Sweden,FNC,Fnatic,Fnatic,TRUE
100000012,176,Spain,G2,G2 Esports,G2 Esports,TRUE
100000013,176,Spain,GIA,Vodafone Giants.Spain,Giants.Spain,TRUE
100000014,272,United Kingdom,H2k,H2k-Gaming,H2k-Gaming,TRUE
100000015,272,United Kingdom,MSF,Misfits,Misfits,TRUE
100000016,176,Spain,AS,Origen,Astralis,TRUE
100000017,61,Denmark,SPY,Splyce,Splyce,FALSE
100000018,80,Germany,ROC,Team ROCCAT,Team ROCCAT,TRUE
100000019,76,France,VIT,Team Vitality,Team Vitality,TRUE
100000020,80,Germany,USE,Unicorns Of Love,Unicorns OL,TRUE
100000021,203,United States,C9,Cloud9,Cloud9,TRUE
100000022,4,N\/C America,CLG,Counter Logic Gaming,CLG,TRUE
100000023,203,United States,FOX,Echo Fox,Echo Fox,TRUE
100000024,203,United States,FLY,FlyQuest,FlyQuest,TRUE
100000025,4,N\/C America,IMT,Immortals,Immortals,TRUE
100000026,4,N\/C America,P1,Phoenix1,Phoenix1,TRUE
100000027,203,United States,DIG,Team Dignitas,Team Dignitas,TRUE
100000028,4,N\/C America,NV,Team EnVyUs,Team EnVyUs,TRUE
100000029,203,United States,TL,Team Liquid,Team Liquid,TRUE
100000030,4,N\/C America,TSM,Team SoloMid,Team SoloMid,TRUE
100000031,107,Korea Republic,EEW,Ever8 Winners,Ever8 Winners,TRUE
100000032,80,Germany,MM,Mysterious Monkeys,Myst. Monkeys,FALSE
100000033,184,Sweden,NIP,Ninjas in Pyjamas,NiP,TRUE
100000034,107,Korea Republic,KZ,Kingzone DragonX,Kingzone DrX,TRUE
100000035,107,Korea Republic,KSV,KSV eSports,KSV eSports,FALSE
100000036,80,Germany,S04,FC Schalke 04,FC Schalke 04,TRUE
100000037,50,Chinese Taipei,AHQ,ahq e-Sports Club,ahq e-Sports,TRUE
100000038,50,Chinese Taipei,FW,Flash Wolves,Flash Wolves,TRUE
100000039,91,Hong Kong,GRX,G-Rex,G-Rex,TRUE
100000040,91,Hong Kong,HKA,HK Attitude,HK Attitude,TRUE
100000041,50,Chinese Taipei,JT,J Team,J Team,TRUE
100000042,50,Chinese Taipei,MCX,Machi E-Sports,Machi Esports,TRUE
100000043,50,Chinese Taipei,MAD,MAD Team,MAD Team,TRUE
100000044,50,Chinese Taipei,AFR,Team Afro,Team Afro,TRUE
100000045,203,United States,100,100 Thieves,100 Thieves,TRUE
100000046,203,United States,CG,Clutch Gaming,Clutch Gaming,TRUE
100000047,203,United States,GG,Golden Guardians,Golden Guard.,TRUE
100000048,203,United States,OPT,OpTic Gaming,OpTic Gaming,TRUE
100000049,102,Japan,7h,7th heaven,7th heaven,FALSE
100000050,102,Japan,DFM,DetonatioN FocusMe,DetonatioN FMe,TRUE
100000051,102,Japan,PGM,PENTAGRAM,PENTAGRAM,TRUE
100000052,102,Japan,RJ,Rascal Jester,Rascal Jester,TRUE
100000053,102,Japan,USG,Unsold Stuff Gaming,Unsold Stuff,TRUE
100000054,102,Japan,V3,V3 Esports,V3 Esports,TRUE
100000055,191,Thailand,ASC,Ascension Gaming,Ascension,TRUE
100000056,196,Turkey,SMB,Bahçeşehir SuperMassive,SuperMassive,TRUE
100000057,208,Vietnam,EVS,EVOS Esports,EVOS Esports,TRUE
100000058,160,Russia,GMB,Gambit Esports,Gambit,TRUE
100000059,35,Brazil,KBM,KaBuM! e-Sports,KaBuM!,TRUE
