account_id,source_game_id,champion,game_id_list,begin_time,end_time
ZQNvazOjKnGS713V1GFVig96ne3LiqeFI3kJnI-Bw4HDOcfdZ60FxSTq,3697668302,79,"[3697668302, 3696580258, 3679815587]",1604442298025,1607466298025
QvEHp3tl7rNTlSGKdMjT4utlhaKMIN7j7cjVm5V4z9idqQ,3697668302,147,"[3697668302, 3697661934, 3696582484]",1605047098025,1607466298025
spq6DnCPYAnP6D19waGOdrk65bQ9sLwm3uBYE1XhmsLvL9Q,3697668302,202,"[3697668302, 3670897053, 3660683118, 3655560022, 3654636363, 3652269645, 3648111630]",1603837498025,1607466298025
ttb3yPA6vS5mKqFJXKMInhub5TzR_fZ_f6X2xlANb7foCg,3697668302,10,"[3697668302, 3678074561]",1603837498025,1607466298025
21VBjcYKBt-fDHjva9fMHUwPhE4veiYjMFa8_5x8oXc1E9-YnvUfRGx9,3697668302,555,"[3697668302, 3695312134, 3695158995, 3691712446, 3690156081, 3690098818, 3688413812]",1606256698025,1607466298025
aRd6y4ix6ZyQpIaVPrvuRO9i1lkDI8GlNYjwTsJdWOR3cQ,3697668302,84,"[3697668302, 3696582484, 3692522391, 3686052658, 3684553568, 3684222517, 3683847979, 3682817693, 3682632798, 3682426946, 3682385481, 3680944924, 3678739032, 3678709937, 3678652910, 3678310617]",1605651898025,1607466298025
LqNwBLY5NtZn_Hz908lS5X93sXdPIDsyBcI1AStHqU8CyA,3697668302,57,"[3697668302, 3697645230, 3697428499, 3696753729, 3695506980, 3693677934, 3690671797]",1606256698025,1607466298025
UAha5GQuiV8K7ykCSsbc1zp-8yeS6bfqS-5R4jr12kw5y1xtB3BeG1t_,3697668302,246,"[3697668302, 3659626904]",1603837498025,1607466298025
gRN9UXipY1gJGp6EnLU7h-WDx8ehYqX1gWK8354YNmBlfkiIuUVi2kYA,3697668302,145,"[3697668302, 3697549126, 3696109041, 3695165008, 3690689239]",1606256698025,1607466298025
h6EY1M9KspLDJFUpmZ_iJmq5wJxx3ViurFUhEUZyiLAKGFw,3697668302,121,[],1603837498025,1607466298025
qDhx5O6vqZTH-acy06yT6e9vSaBgbWa5WpK9RhM3CqzoYg54g8t8ZAW_,3684169604,202,"[3684169604, 3684106632, 3653181712, 3653103976, 3652962020, 3652857578]",1604196044343,1606615244343
qEwTJaXilsSTbpUs-plFwTAl7-WBxiFdzfL2f7fkbJU4Lw,3684169604,121,"[3684169604, 3682279071]",1603591244343,1606615244343
E3O-FblIUsZUAFcj6IW16HoCvxtacaF77H-w5Jf6BU5zGa8,3684169604,4,"[3684169604, 3680234033, 3675502101]",1604196044343,1606615244343
fUjXS5cQvsrL45YZ2a4BVl-nwn0Lnhm6vDxXrZryHDqiSPI,3684169604,267,"[3684169604, 3684201490, 3684115756, 3684034159, 3684020912, 3683786341, 3683832651, 3683657398, 3683682128, 3683558339, 3683301238, 3683208930, 3683195088, 3683170321, 3682938734, 3682878841, 3682890405, 3682764668, 3682718103, 3682713569, 3682646879, 3682523475, 3682490513, 3682465199, 3682462207, 3682378066, 3682025536, 3682002596, 3681947908, 3681943938, 3681374671, 3681140632, 3681018827, 3681075288, 3681012509, 3680964173, 3680950164, 3680934094, 3680870908, 3680466307, 3680510592, 3680397143, 3680400072, 3679643657, 3679469301, 3679434631, 3679400913, 3679347303, 3678935818, 3678902622, 3678714196, 3678666488, 3678565622, 3678527715, 3678439561, 3678360982, 3678335795, 3678229554, 3678272385, 3678197793, 3678205100, 3678116806, 3678093469, 3678110937, 3677414854, 3677355091, 3677258612, 3677203112, 3677054001, 3676964805, 3676827807, 3676813899, 3676758169, 3676790426, 3676655624, 3676650692, 3676577144, 3676573129, 3675245341, 3675185862, 3675171505, 3675096984, 3675072522, 3674463137, 3674324291, 3674241948]",1605405644343,1606615244343
-tRGDd1hjXkVPcQEM50z980gb-k_xm_MGeAbsNp1G5VbmaI,3684169604,8,"[3684169604, 3684129166, 3669617092, 3668226411, 3661022143, 3660842265]",1604196044343,1606615244343
rnRqPEMbYvLvGullPG8lLOOR9foge6Sb6zcI34igfb7PKA,3684169604,266,"[3684169604, 3673587677]",1602986444343,1606615244343
spq6DnCPYAnP6D19waGOdrk65bQ9sLwm3uBYE1XhmsLvL9Q,3684169604,145,"[3684169604, 3683991059, 3654034263, 3652237714]",1603591244343,1606615244343
eJb99LYX9fWva2kfNJbuFYrEYw-omOvjyqGmJvDj3w-O3LxTrrpb6csq,3684169604,236,"[3684169604, 3684201490, 3679269554, 3660646494, 3659944589]",1604196044343,1606615244343
m7JZxxa8fqsD2vcsXoB3a1mzEhmQf1vYPOvKy2STHcewCTUeFkrKQzaz,3684169604,28,"[3684169604, 3654991983, 3654648681, 3654584248]",1604196044343,1606615244343
wtDO-7hAlyFI56wFz6d5p1Kfn8lgFSibAtLu9RS1q8WM8So,3684169604,12,"[3684169604, 3682801673, 3682421890, 3679437901, 3676878421, 3676844404, 3676002123, 3675639878]",1605405644343,1606615244343
swytkw609pMDqMMmIpdeIfSZpl6yEz-HouLL8oL-TuicoA,3683991059,412,"[3683991059, 3683321501, 3683260366, 3683167018, 3683172853, 3682931827, 3680674034, 3679038194, 3679022638, 3678739032, 3678474871, 3676155675, 3675666048, 3674845852, 3674790918]",1605393535732,1606603135732
2qZeYET32Mtclrdcoxj4onSq-dSMqC6UnrqTrDhVHw,3683991059,114,[3683991059],1602974335732,1606603135732
spq6DnCPYAnP6D19waGOdrk65bQ9sLwm3uBYE1XhmsLvL9Q,3683991059,145,"[3683991059, 3654034263, 3652237714, 3640570980]",1602974335732,1606603135732
u0-U2ZasZN68KaFtFqKQ4BKwOfldgT2LuMYWed-nWeGnKlw,3683991059,3,"[3683991059, 3683655934, 3683622013, 3683414892, 3682284203, 3682290561, 3682233270, 3682113464, 3680603508, 3680555306, 3679225804, 3678692808, 3678525048, 3678457960, 3678406527, 3677305951, 3676773065, 3676559983, 3676496121, 3676387881, 3675755087, 3675336282, 3674965628, 3674930551, 3674896721, 3674852235, 3674845852]",1605393535732,1606603135732
0O9ycLKubV4nBKhHOq3BVDS68CQfmpRgEnpRR9EqARpaBaXs6_XfJc_A,3683991059,64,"[3683991059, 3660447922, 3657462011]",1603579135732,1606603135732
AN03f09MAuOJ56tVELBhtMZKX8B6jRpaBXRKu-R_kgz_k3POCfHibDB6,3683991059,516,[3683991059],1602974335732,1606603135732
813Cu-LJLdMr7GR-z65xgJKjUj20ME7WlneLjI8cp9pkVA,3683991059,777,"[3683991059, 3682464286, 3680002042, 3679815587]",1604788735732,1606603135732
VFL2KI-rVVGFUQsdZ5uIgFkV8Oh42yuevJ-4SsuzuhwHxA,3683991059,89,"[3683991059, 3681062342, 3680944924, 3680889442, 3680896011, 3680002042, 3678910461, 3674615251]",1605393535732,1606603135732
