,PlayerId,FirstName,LastName,CommonName,MatchName,Position,Gender,BirthDate,BirthCountry,Nationality,Updated
0,100000576,Lee,Da-yun,Lee Da-yun,Spirit,Jungle,Male,1996-07-01T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:05:44
1,100000577,Lee,Seo-haeng,Lee Seo-haeng,Kuro,Mid,Male,1994-01-04T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:07:05
2,100000578,Ha,Jong-Hoon,Ha Jong-Hoon,Kramer,ADC,Male,1993-03-09T00:00:00,Korea Republic,Korea Republic,2021-04-04T12:10:01
3,100000579,Bak,Jong-ik,Bak Jong-ik,TusiN,Support,Male,1995-11-12T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:06:56
4,100000580,Lee,Jae-ha,Lee Jae-ha,Mowgli,Jungle,Male,1998-04-14T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:04:05
5,100000581,Kim,Ki-in,Kim Ki-in,Kiin,Top,Male,1999-05-28T00:00:00,Korea Republic,Korea Republic,2021-06-12T08:11:22
6,100000582,Park,Woo-tae,Park Woo-tae,Summit,Top,Male,1998-12-08T00:00:00,Korea Republic,Korea Republic,2021-06-12T08:11:29
7,100000583,Lee,Sol-Min,Lee Sol-Min,Ruby,Mid,Male,1998-08-11T00:00:00,Korea Republic,Korea Republic,2021-06-22T10:11:54
8,100000584,Kim,Ha-ram,Kim Ha-ram,Aiming,ADC,Male,2000-07-20T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:11:33
9,100000585,Son,Ho-gyeong,Son Ho-gyeong,Jelly,Support,Male,1997-10-18T00:00:00,Korea Republic,Korea Republic,2021-06-22T18:54:34
10,100000586,Son,Woo-hyeon,Son Woo-hyeon,Ucal,Mid,Male,2001-01-30T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:06:46
11,100000587,Kang,Myung-Gu,Kang Myung-Gu,Tempt,Mid,Male,1998-05-13T00:00:00,Korea Republic,Korea Republic,2021-03-27T00:02:49
12,100000588,Jang,Yong-jun,Jang Yong-jun,Ghost,ADC,Male,1999-03-18T00:00:00,Korea Republic,Korea Republic,2021-05-11T18:05:27
13,100000589,Kim,Gi-beom,Kim Gi-beom,bonO,Jungle,Male,1995-02-27T00:00:00,Korea Republic,Korea Republic,2021-06-14T14:59:34
14,100000590,Kim,Gang-yun,Kim Gang-yun,Trick,Jungle,Male,1995-07-11T00:00:00,Korea Republic,Korea Republic,2021-05-11T18:07:15
15,100000591,Lee,Dong-geun,Lee Dong-geun,IgNar,Support,Male,1996-11-20T00:00:00,Korea Republic,Korea Republic,2021-05-11T18:11:17
16,100000592,Lee,Chae-hwan,Lee Chae-hwan,Prince,ADC,Male,2000-04-05T00:00:00,Korea Republic,Korea Republic,2021-03-29T14:02:58
17,100000593,Um,Sung-hyeon,Um Sung-hyeon,UmTi,Jungle,Male,1999-06-02T00:00:00,Korea Republic,Korea Republic,2021-03-29T10:04:23
18,100000594,Kim,Jun-yeong,Kim Jun-yeong,SoHwan,Top,Male,1996-10-24T00:00:00,Korea Republic,Korea Republic,2021-06-14T14:59:34
19,100000595,Yoon,Seok-joon,Yoon Seok-joon,Justice,Mid,Male,1998-01-04T00:00:00,Korea Republic,Korea Republic,2020-08-19T00:05:04
20,100000596,Chan-ju,Lee,Chan-ju Lee,Grace,Mid,Male,2000-06-12T00:00:00,Korea Republic,Korea Republic,2021-02-04T14:44:48
21,100000597,Byungkwo,Lee,Lee Byungkwo,KaKAO,Jungle,Male,1995-12-07T00:00:00,Korea Republic,Korea Republic,2021-06-11T10:02:49
22,100000598,Park,Chan-ho,Park Chan-ho,Nova,Support,Male,1997-01-07T00:00:00,Korea Republic,Korea Republic,2020-12-29T23:57:07
23,100000599,Kim,Kang-hee,Kim Kang-hui,Roach,Top,Male,1999-01-31T00:00:00,Korea Republic,Korea Republic,2021-06-11T12:10:42
24,100000600,Seo,Jin-sol,Seo Jin-sol,Ssol,ADC,Male,1998-02-06T00:00:00,Korea Republic,Korea Republic,2021-05-12T22:07:53
25,100000601,Lee,Ho-Seong,Lee Ho-Seong,Edge,Mid,Male,1997-12-03T00:00:00,Korea Republic,Korea Republic,2020-08-19T00:05:38
26,100000602,Park,Ki-sun,Park Ki-sun,Secret,Support,Male,1997-05-27T00:00:00,Korea Republic,Korea Republic,2021-05-12T22:07:43
27,100000603,Na,Yoo-joon,Na Yoo-joon,Wiz,Jungle,Male,1998-04-23T00:00:00,Korea Republic,Korea Republic,2021-06-15T10:11:52
28,100000604,Choi,Hyeon-woo,Choi Hyeon-woo,CheonGo,Mid,Male,1999-03-10T00:00:00,Korea Republic,Korea Republic,2020-12-28T17:56:40
29,100000605,Song,Kyung-ho,Song Kyung-ho,Smeb,Top,Male,1995-06-30T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:07:00
30,100000606,Go,Dong-bin,Go Dong-bin,Score,Jungle,Male,1992-07-08T00:00:00,Korea Republic,Korea Republic,2021-06-12T08:11:33
31,100000607,Heo,Won-seok,Heo Won-seok,PawN,Mid,Male,1997-01-26T00:00:00,Korea Republic,Korea Republic,2021-03-29T08:01:06
32,100000608,Kim,Hyuk-kyu,Kim Hyuk-kyu,Deft,ADC,Male,1996-10-23T00:00:00,Korea Republic,Korea Republic,2021-06-11T12:08:20
33,100000609,Cho,Se-hyeong,Cho Se-hyeong,Mata,Support,Male,1994-02-27T00:00:00,Korea Republic,Korea Republic,2021-03-29T08:01:29
34,100000610,Lee,Yoon-jae,Lee Yoon-jae,Rush,Jungle,Male,1993-04-06T00:00:00,Korea Republic,Korea Republic,2021-03-29T08:01:35
35,100000611,Hwang,Seong-hoon,Hwang Seon-hoon,Kingen,Top,Male,2000-03-11T00:00:00,Korea Republic,Korea Republic,2021-06-23T00:11:44
36,100000612,Choi,Sang-in,Choi Sang-in,Mia,Support,Male,1998-11-03T00:00:00,Korea Republic,Korea Republic,2021-06-22T18:54:34
37,100000613,Kang,Gun-mo,Kang Gun-mo,ADD,Top,Male,1998-10-17T00:00:00,Korea Republic,Korea Republic,2021-06-09T02:59:01
38,100000614,Kim,Kyu-suk,Kim Kyu-suk,Beyond,Jungle,Male,1997-08-18T00:00:00,Korea Republic,Korea Republic,2021-03-29T10:05:07
39,100000615,Ahn,Joon-hyung,Ahn Joon-hyung,Ian,Mid,Male,1998-01-22T00:00:00,Korea Republic,Korea Republic,2020-12-29T23:57:35
40,100000616,Oh,Hyun-sik,Oh Hyun-sik,MaHa,ADC,Male,1995-11-07T00:00:00,Korea Republic,Korea Republic,2020-08-19T00:06:30
41,100000617,Jeong,Jong-bin,Jeong Jong-bin,Max,Support,Male,1996-05-30T00:00:00,Korea Republic,Korea Republic,2020-08-19T07:42:23
42,100000618,Na,Woo-hyung,Na Woo-hyung,Pilot,ADC,Male,1995-12-04T00:00:00,Korea Republic,Korea Republic,2021-06-14T14:59:34
43,100000619,Cho,Se-hee,Cho Se-hee,Motive,Support,Male,2001-01-08T00:00:00,Korea Republic,Korea Republic,2020-08-19T00:06:41
44,100000620,Lee,Sang-hyeok,Lee Sang-hyeok,Faker,Mid,Male,1996-05-07T00:00:00,Korea Republic,Korea Republic,2021-05-11T18:05:22
45,100000621,Lee,Sang-ho,Lee Sang-ho,Effort,Support,Male,2000-11-23T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:05:40
46,100000622,Han,Gyeo-re,Han Gyeo-re,Leo,ADC,Male,2000-01-12T00:00:00,Korea Republic,Korea Republic,2021-05-02T15:01:45
47,100000623,Park,Jin-sung,Park Jin-sung,Teddy,ADC,Male,1998-03-15T00:00:00,Korea Republic,Korea Republic,2021-05-11T18:05:17
48,100000624,Kang,Min-seung,Kang Min-seung,Haru,Jungle,Male,1998-06-03T00:00:00,Korea Republic,Korea Republic,2021-06-22T18:54:34
