PlayerId,FirstName,LastName,CommonName,MatchName,Position,Gender,BirthDate,BirthCountry,Nationality,Updated
100000576,Lee,Da-yun,Lee Da-yun,Spirit,Jungle,Male,1996-07-01T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:05:44
100000577,Lee,Seo-haeng,Lee Seo-haeng,Kuro,Mid,Male,1994-01-04T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:07:05
100000578,Ha,Jong-Hoon,Ha Jong-Hoon,Kramer,ADC,Male,1993-03-09T00:00:00,Korea Republic,Korea Republic,2021-04-04T12:10:01
100000579,Bak,Jong-ik,Bak Jong-ik,TusiN,Support,Male,1995-11-12T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:06:56
100000580,Lee,Jae-ha,Lee Jae-ha,Mowgli,Jungle,Male,1998-04-14T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:04:05
100000581,Kim,Ki-in,Kim Ki-in,Kiin,Top,Male,1999-05-28T00:00:00,Korea Republic,Korea Republic,2021-06-12T08:11:22
100000582,Park,Woo-tae,Park Woo-tae,Summit,Top,Male,1998-12-08T00:00:00,Korea Republic,Korea Republic,2021-06-12T08:11:29
100000583,Lee,Sol-Min,Lee Sol-Min,Ruby,Mid,Male,1998-08-11T00:00:00,Korea Republic,Korea Republic,2021-06-22T10:11:54
100000584,Kim,Ha-ram,Kim Ha-ram,Aiming,ADC,Male,2000-07-20T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:11:33
100000585,Son,Ho-gyeong,Son Ho-gyeong,Jelly,Support,Male,1997-10-18T00:00:00,Korea Republic,Korea Republic,2021-06-22T18:54:34
100000586,Son,Woo-hyeon,Son Woo-hyeon,Ucal,Mid,Male,2001-01-30T00:00:00,Korea Republic,Korea Republic,2021-06-11T08:06:46
100000587,Kang,Myung-Gu,Kang Myung-Gu,Tempt,Mid,Male,1998-05-13T00:00:00,Korea Republic,Korea Republic,2021-03-27T00:02:49
100000588,Jang,Yong-jun,Jang Yong-jun,Ghost,ADC,Male,1999-03-18T00:00:00,Korea Republic,Korea Republic,2021-05-11T18:05:27
100000589,Kim,Gi-beom,Kim Gi-beom,bonO,Jungle,Male,1995-02-27T00:00:00,Korea Republic,Korea Republic,2021-06-14T14:59:34
100000590,Kim,Gang-yun,Kim Gang-yun,Trick,Jungle,Male,1995-07-11T00:00:00,Korea Republic,Korea Republic,2021-05-11T18:07:15
100000591,Lee,Dong-geun,Lee Dong-geun,IgNar,Support,Male,1996-11-20T00:00:00,Korea Republic,Korea Republic,2021-05-11T18:11:17
100000592,Lee,Chae-hwan,Lee Chae-hwan,Prince,ADC,Male,2000-04-05T00:00:00,Korea Republic,Korea Republic,2021-03-29T14:02:58
100000593,Um,Sung-hyeon,Um Sung-hyeon,UmTi,Jungle,Male,1999-06-02T00:00:00,Korea Republic,Korea Republic,2021-03-29T10:04:23
100000594,Kim,Jun-yeong,Kim Jun-yeong,SoHwan,Top,Male,1996-10-24T00:00:00,Korea Republic,Korea Republic,2021-06-14T14:59:34
100000595,Yoon,Seok-joon,Yoon Seok-joon,Justice,Mid,Male,1998-01-04T00:00:00,Korea Republic,Korea Republic,2020-08-19T00:05:04
